"Check last 100 debug log records","Verifica los últimos 100 registros del log de depuración"
"Check last 100 error log records","Verifica los últimos 100 registros del log de errores"
"Run Self-test","Ejecutar autoprueba"
"Check for latest versions","Comprueba las últimas versiones"
"Please select","Por favor selecciona"
Day(s),Día(s)
Week(s),Semana(s)
Month(s),Mes(es)
Times,Veces
Infinite,Infinito
Enabled,Habilitado
Disabled,Deshabilitado
"Log is empty","El registro está vacío"
"Unable to cancel subscription: %1","No se puede cancelar la suscripción: %1"
"Subscription with ID ""%1"" has been cancelled","La suscripción con ID ""%1"" ha sido cancelada"
"No id provided","No se proporcionó id"
"Please check the Mollie logs for more information","Por favor, consulta los registros de Mollie para más información"
"Unable to cancel subscription","No se puede cancelar la suscripción"
"My Subscriptions","Mis Suscripciones"
"We are unable to restart the subscription","No podemos reiniciar la suscripción"
"Unable to change the price for subscription ""%1""","No se puede cambiar el precio de la suscripción ""%1"""
"Subscription ""%1"" canceled, deleted database record with ID ""%2""","Suscripción ""%1"" cancelada, se eliminó el registro de la base de datos con ID ""%2"""
"Updated subscription ""%1"" to price ""%2""","Actualizada la suscripción ""%1"" al precio ""%2"""
"Use Config Settings","Usar Configuraciones de Configuración"
"Cron settings can't be saved","No se pueden guardar las configuraciones de Cron"
"Could not save the subscriptionToProduct: %1","No se pudo guardar la subscriptionToProduct: %1"
"subscription_to_product with id ""%1"" does not exist.","subscription_to_product con id ""%1"" no existe."
"Subscription for customer %1 and product %2 not found","No se encontró la suscripción para el cliente %1 y el producto %2"
"Could not delete the subscription_to_product: %1","No se pudo eliminar la subscription_to_product: %1"
"Please select a subscription before adding the product to your cart.","Por favor, selecciona una suscripción antes de agregar el producto a tu carrito."
"You already have a subscription to this product.","Ya tienes una suscripción a este producto."
"Exception while adding the subscription buttons:","Excepción al agregar los botones de suscripción:"
"You already have a subscription to ""%1"". This product has been removed from your cart.","Ya tienes una suscripción a ""%1"". Este producto ha sido eliminado de tu carrito."
"Subscription with ID ""%1"" is not active anymore, deleting record with ID ""%2""","La suscripción con ID ""%1"" ya no está activa, eliminando registro con ID ""%2"""
"Payment with ID %1 not found in any store view","Pago con ID %1 no encontrado en ninguna vista de tienda"
"Every day","Cada día"
"Every %1 days","Cada %1 días"
"Every week","Cada semana"
"Every %1 weeks","Cada %1 semanas"
"Every month","Cada mes"
"Every %1 months","Cada %1 meses"
"Every %1 %2","Cada %1 %2"
Cancel,Cancelar
Delete,Borrar
"Are you sure you want to delete this record?","¿Estás seguro de que quieres borrar este registro?"
"Manual & Support","Manual y Soporte"
"You have no active subscriptions.","No tienes suscripciones activas."
Orders,Órdenes
ID,ID
Date,Fecha
Status,Estado
Description,Descripción
Amount,Cantidad
Action,Acción
Total,Total
Actions,Acciones
"Are you sure you want to delete the subscription with ID %1?","¿Estás seguro de que quieres eliminar la suscripción con ID %1?"
Restart,Reiniciar
"One Time Purchase","Compra única"
Default,Defecto
Title,Título
"Repeat Every","Repetir Cada"
Type,Tipo
"Repeat Times","Veces de Repetición"
"Repeat Type","Tipo de Repetición"
"Add Subscription type","Agregar tipo de suscripción"
"Previous Page","Página anterior"
"Next Page","Página siguiente"
"Subscription canceled","Suscripción cancelada"
"Hello,","Hola,"
"The customer %customerName has canceled a subscription with the description %subscription_description and ID %subscription_id.","El cliente %customerName ha cancelado una suscripción con la descripción %subscription_description y ID %subscription_id."
"Thanks again,","Gracias de nuevo,"
%store_name,%store_name
"Dear %name,","Estimado %name,"
"We confirm that you canceled the subscription with ID %subscription_id.","Confirmamos que cancelaste la suscripción con ID %subscription_id."
"New subscription","Nueva suscripción"
"The customer %customerName has started a new subscription with the description %description and ID %subscription_id.","El cliente %customerName ha comenzado una nueva suscripción con la descripción %description y ID %subscription_id."
"Your new subscription","Tu nueva suscripción"
"Good news! We confirm your subscription to %product_name. The next order will be sent on its way to you on %nextPaymentDate.","¡Buenas noticias! Confirmamos tu suscripción a %product_name. El próximo pedido se te enviará el %nextPaymentDate."
"Upcoming subscription renewal from %store_name","Próxima renovación de suscripción de %store_name"
"We are very excited to get your %product_name subscription ready for %nextPaymentDate!","¡Estamos muy emocionados de preparar tu suscripción a %product_name para el %nextPaymentDate!"
"This email is a reminder that a subscription fee of %amount_value will be charged on the same date.","Este correo electrónico es un recordatorio de que se cobrará una tarifa de suscripción de %amount_value en la misma fecha."
"If you would like to pause or cancel your subscription or make any other changes, you can always do so by logging into your %store_name account.","Si desea pausar o cancelar su suscripción o realizar cualquier otro cambio, siempre puede hacerlo iniciando sesión en su cuenta de %store_name."
"All our best,","Todo lo mejor,"
"Subscription restarted","Suscripción reiniciada"
"The customer %customerName has re-started a subscription with the description %subscriptionDescription.","El cliente %customerName ha reiniciado una suscripción con la descripción %subscriptionDescription."
"We confirm that you restarted the subscription on %product_name.","Confirmamos que reiniciaste la suscripción en %product_name."
Passed,Aprobado
Failed,Fallado
"Great, you are using the latest version.","Genial, estás usando la última versión."
"There is a new version available <span>(%1)</span> see <button type=""button"" id=""mollie-subscriptions-button_changelog"">changelog</button>.","Hay una nueva versión disponible <span>(%1)</span> ver <button type=""button"" id=""mollie-subscriptions-button_changelog"">registro de cambios</button>."
"last 100 debug log lines","últimas 100 líneas del registro de depuración"
"download as .txt file","descargar como archivo .txt"
ok,ok
"last 100 error log records","últimos 100 registros de error"
Self-test,Autoevaluación
"Show more.","Mostrar más."
"Show less.","Mostrar menos."
"Not all payments methods are available when ordering subscription products.","No todos los métodos de pago están disponibles al ordenar productos de suscripción."
"View active Mollie subscriptions","Ver suscripciones activas de Mollie"
"Mollie Subscriptions","Suscripciones Mollie"
"View active subscriptions","Ver suscripciones activas"
Subscriptions,Suscripciones
Branding,Marca
"Debug & Logging","Depuración y Registro"
Logging,Registro
"Debug Mode","Modo de depuración"
Emails,Correos electrónicos
"Disable new order confirmation","Desactivar confirmación de nuevo pedido"
"Send admin email on new subscription?","¿Enviar correo electrónico al administrador en nueva suscripción?"
"Subscription notification template for admin","Plantilla de notificación de suscripción para el administrador"
"Send customer email on new subscription?","¿Enviar correo electrónico al cliente en nueva suscripción?"
"Subscription notification template for customer","Plantilla de notificación de suscripción para el cliente"
"Send admin email on restart of a subscription?","¿Enviar correo electrónico al administrador al reiniciar una suscripción?"
"Send customer email on restart of a subscription?","¿Enviar correo electrónico al cliente al reiniciar una suscripción?"
"Restart subscription notification template for customer","Plantilla de notificación de reinicio de suscripción para el cliente"
"Send admin email on subscription cancel?","¿Enviar correo electrónico al administrador al cancelar una suscripción?"
"Cancel subscription notification template for admin","Plantilla de notificación de cancelación de suscripción para el administrador"
"Send customer email on subscription cancel?","¿Enviar correo electrónico al cliente al cancelar una suscripción?"
"Cancel subscription notification template for customer","Plantilla de notificación de cancelación de suscripción para el cliente"
General,General
Version,Versión
"Shipping method","Método de envío"
"Allow one-time purchase for products?","¿Permitir compra única para productos?"
"Pre-payment reminder email","Correo electrónico de recordatorio de prepago"
"Email template","Plantilla de correo electrónico"
"Send BCC to","Enviar BCC a"
"<strong>Optional</strong> Comma separated list of emailaddresses. Leave empty to disable.","<strong>Opcional</strong> Lista de direcciones de correo electrónico separadas por comas. Dejar en blanco para desactivar."
"Days before reminder","Días antes del recordatorio"
"Cron time","Hora del cron"
"All Store Views","Todas las vistas de la tienda"
"Store View","Vista de la tienda"
"First Payment Date","Fecha del primer pago"
"Customer Name","Nombre del cliente"
"Next Payment at","Próximo pago en"
"Pre-Payment Reminder","Recordatorio de prepago"
